iter	Passed	Remaining
0	0	46
1	0	43
2	1	43
3	1	42
4	2	41
5	2	41
6	3	40
7	3	39
8	3	38
9	4	38
10	4	38
11	5	38
12	5	37
13	6	37
14	6	36
15	6	36
16	7	35
17	7	34
18	8	34
19	8	33
20	8	33
21	9	32
22	9	32
23	10	31
24	10	31
25	10	31
26	11	30
27	11	30
28	12	29
29	12	29
30	12	28
31	13	28
32	13	27
33	14	27
34	14	26
35	14	26
36	15	25
37	15	25
38	15	24
39	16	24
40	16	23
41	16	23
42	17	22
43	17	22
44	17	21
45	18	21
46	18	20
47	18	20
48	18	19
49	19	19
50	19	18
51	19	18
52	20	17
53	20	17
54	20	16
55	21	16
56	21	16
57	21	15
58	22	15
59	22	14
60	22	14
61	23	14
62	23	13
63	23	13
64	24	12
65	24	12
66	24	12
67	25	11
68	25	11
69	25	10
70	25	10
71	26	10
72	26	9
73	27	9
74	27	9
75	27	8
76	28	8
77	28	8
78	28	7
79	29	7
80	29	6
81	29	6
82	30	6
83	30	5
84	31	5
85	31	5
86	31	4
87	32	4
88	32	4
89	32	3
90	33	3
91	33	2
92	34	2
93	34	2
94	35	1
95	35	1
96	35	1
97	36	0
98	36	0
99	36	0
