iter	Passed	Remaining
0	0	609
1	1	556
2	1	560
3	2	520
4	2	503
5	2	479
6	3	467
7	3	458
8	4	451
9	4	447
10	4	441
11	5	445
12	5	440
13	6	435
14	6	438
15	7	447
16	7	445
17	8	441
18	8	440
19	8	438
20	9	437
21	9	439
22	10	437
23	10	440
24	11	436
25	11	434
26	11	431
27	12	429
28	13	436
29	13	437
30	13	437
31	14	434
32	14	433
33	15	431
34	15	429
35	16	429
36	16	427
37	16	426
38	17	427
39	17	428
40	18	426
41	18	424
42	19	423
43	19	424
44	20	424
45	20	422
46	20	421
47	21	421
48	21	421
49	22	421
50	22	421
51	23	420
52	23	419
53	23	417
54	24	417
55	24	416
56	25	414
57	25	413
58	25	411
59	26	413
60	26	413
61	27	412
62	27	411
63	28	411
64	28	410
65	28	409
66	29	408
67	29	407
68	30	405
69	30	405
70	30	403
71	31	402
72	31	402
73	32	400
74	32	399
75	32	399
76	33	399
77	33	399
78	34	400
79	34	400
80	35	399
81	35	398
82	35	395
83	36	394
84	36	393
85	36	392
86	37	391
87	37	390
88	38	389
89	38	391
90	39	390
91	39	389
92	39	388
93	40	392
94	41	392
95	41	392
96	42	391
97	42	392
98	43	391
99	43	391
100	43	391
101	44	390
102	44	389
103	45	388
104	45	387
105	45	386
106	46	386
107	46	385
108	47	385
109	47	386
110	48	386
111	48	386
112	49	385
113	49	384
114	49	383
115	50	382
116	50	381
117	50	380
118	51	379
119	51	379
120	52	378
121	52	378
122	53	378
123	53	378
124	54	378
125	54	377
126	54	376
127	55	377
128	55	377
129	56	377
130	56	377
131	57	377
132	57	377
133	58	377
134	58	376
135	59	376
136	59	375
137	60	375
138	60	375
139	61	375
140	61	374
141	61	372
142	62	372
143	62	371
144	62	371
145	63	370
146	63	369
147	64	369
148	64	368
149	64	368
150	65	368
151	66	368
152	66	368
153	67	368
154	67	368
155	67	367
156	68	366
157	68	367
158	69	366
159	69	366
160	70	365
161	70	364
162	70	364
163	71	364
164	72	364
165	72	364
166	72	364
167	73	364
168	74	364
169	74	364
170	75	363
171	75	363
172	75	362
173	76	361
174	76	361
175	77	360
176	77	360
177	77	359
178	78	358
179	78	358
180	79	357
181	79	357
182	80	357
183	80	357
184	81	357
185	81	357
186	82	358
187	83	358
188	83	358
189	84	358
190	84	358
191	85	357
192	85	358
193	86	357
194	86	357
195	87	358
196	87	358
197	88	358
198	88	357
199	89	357
200	89	356
201	90	356
202	90	355
203	91	355
204	91	355
205	91	354
206	92	353
207	92	353
208	93	352
209	93	351
210	93	351
211	94	351
212	95	351
213	95	350
214	95	350
215	96	350
216	96	349
217	97	349
218	97	349
219	98	348
220	98	348
221	99	347
222	99	346
223	99	346
224	100	345
225	101	345
226	101	345
227	101	345
228	102	344
229	102	343
230	103	343
231	103	342
232	103	341
233	104	341
234	104	340
235	105	339
236	105	339
237	105	338
238	106	337
239	106	337
240	106	336
241	107	336
242	107	336
243	108	335
244	108	335
245	109	334
246	109	334
247	109	333
248	110	333
249	111	333
250	111	333
251	112	333
252	112	332
253	113	332
254	113	331
255	114	332
256	114	331
257	115	331
258	115	331
259	116	330
260	116	329
261	116	329
262	117	329
263	117	328
264	118	327
265	118	327
266	118	326
267	119	326
268	119	325
269	120	324
270	120	324
271	121	324
272	121	324
273	122	323
274	122	323
275	123	322
276	123	322
277	123	321
278	124	321
279	124	320
280	125	320
281	125	320
282	126	319
283	126	319
284	127	320
285	128	319
286	128	319
287	128	318
288	129	318
289	129	317
290	130	317
291	130	316
292	131	316
293	131	315
294	131	315
295	132	314
296	132	313
297	133	313
298	133	313
299	134	313
300	134	313
301	135	312
302	135	312
303	136	311
304	136	311
305	137	310
306	137	310
307	137	309
308	138	309
309	138	309
310	139	308
311	139	308
312	140	308
313	141	308
314	141	307
315	142	307
316	142	307
317	142	306
318	143	306
319	143	305
320	144	305
321	144	304
322	145	304
323	145	303
324	145	303
325	146	302
326	146	302
327	147	301
328	148	301
329	148	301
330	148	300
331	149	300
332	149	299
333	150	299
334	150	298
335	150	298
336	151	297
337	151	297
338	152	296
339	152	296
340	153	295
341	153	295
342	154	295
343	155	295
344	155	295
345	155	294
346	156	294
347	156	293
348	157	292
349	157	292
350	157	291
351	158	291
352	158	291
353	159	290
354	159	289
355	159	289
356	160	289
357	161	289
358	161	288
359	162	288
360	162	287
361	163	287
362	163	287
363	164	286
364	164	286
365	165	287
366	166	287
367	167	287
368	167	287
369	168	286
370	168	286
371	169	286
372	169	285
373	170	285
374	171	285
375	171	284
376	171	284
377	172	283
378	172	283
379	173	283
380	174	282
381	174	282
382	175	282
383	176	283
384	177	283
385	178	283
386	178	282
387	179	282
388	179	282
389	180	281
390	181	282
391	181	281
392	182	281
393	182	281
394	183	280
395	183	280
396	184	279
397	184	279
398	185	278
399	185	278
400	185	277
401	186	277
402	186	276
403	187	276
404	187	275
405	187	275
406	188	274
407	188	274
408	189	273
409	189	272
410	190	272
411	190	272
412	191	271
413	191	271
414	192	271
415	192	270
416	193	270
417	194	270
418	194	270
419	195	269
420	195	269
421	196	269
422	197	269
423	198	269
424	199	269
425	199	268
426	199	268
427	200	267
428	200	267
429	201	266
430	201	266
431	201	265
432	202	264
433	202	264
434	203	263
435	203	263
436	204	262
437	204	262
438	204	261
439	205	260
440	205	260
441	206	260
442	206	259
443	206	259
444	207	258
445	207	258
446	208	257
447	208	256
448	208	256
449	209	255
450	209	255
451	210	254
452	210	254
453	210	253
454	211	252
455	211	252
456	211	251
457	212	251
458	212	250
459	212	250
460	213	249
461	213	248
462	214	248
463	214	247
464	214	247
465	215	246
466	215	245
467	215	245
468	216	244
469	216	244
470	216	243
471	217	243
472	217	242
473	218	241
474	218	241
475	218	240
476	219	240
477	219	239
478	219	239
479	220	238
480	220	238
481	221	237
482	221	237
483	221	236
484	222	236
485	222	235
486	223	235
487	223	234
488	223	233
489	224	233
490	224	232
491	224	232
492	225	231
493	225	231
494	225	230
495	226	229
496	226	229
497	226	228
498	227	228
499	227	227
500	228	227
501	228	226
502	228	226
503	229	225
504	229	224
505	229	224
506	230	223
507	230	223
508	230	222
509	231	222
510	231	221
511	231	221
512	232	220
513	232	219
514	233	219
515	233	218
516	233	218
517	234	217
518	234	217
519	235	216
520	235	216
521	235	215
522	236	215
523	236	214
524	236	214
525	237	213
526	237	213
527	238	212
528	238	212
529	238	211
530	239	211
531	239	210
532	240	210
533	240	209
534	240	209
535	241	208
536	241	208
537	242	207
538	242	207
539	242	206
540	243	206
541	243	205
542	243	205
543	244	204
544	244	204
545	244	203
546	245	203
547	245	202
548	246	202
549	246	201
550	246	201
551	247	200
552	247	200
553	248	199
554	248	199
555	248	198
556	249	198
557	249	197
558	249	197
559	250	196
560	250	196
561	251	195
562	251	195
563	251	194
564	252	194
565	252	193
566	253	193
567	253	192
568	253	192
569	254	191
570	254	191
571	255	190
572	255	190
573	255	189
574	256	189
575	256	188
576	256	188
577	257	187
578	257	187
579	257	186
580	258	186
581	258	185
582	259	185
583	259	184
584	259	184
585	260	183
586	260	183
587	260	182
588	261	182
589	261	181
590	261	181
591	262	180
592	262	180
593	263	179
594	263	179
595	263	178
596	264	178
597	264	177
598	264	177
599	265	176
600	265	176
601	266	175
602	266	175
603	266	174
604	267	174
605	267	174
606	268	173
607	268	173
608	268	172
609	269	172
610	269	171
611	269	171
612	270	170
613	270	170
614	270	169
615	271	169
616	271	168
617	272	168
618	272	167
619	272	167
620	273	166
621	273	166
622	273	165
623	274	165
624	274	164
625	274	164
626	275	163
627	275	163
628	276	162
629	276	162
630	276	161
631	277	161
632	277	160
633	277	160
634	278	159
635	278	159
636	279	159
637	279	158
638	279	158
639	280	157
640	280	157
641	280	156
642	281	156
643	281	155
644	281	155
645	282	154
646	282	154
647	283	153
648	283	153
649	283	152
650	284	152
651	284	151
652	285	151
653	285	150
654	285	150
655	286	150
656	286	149
657	286	149
658	287	148
659	287	148
660	287	147
661	288	147
662	288	146
663	288	146
664	289	145
665	289	145
666	290	144
667	290	144
668	290	143
669	291	143
670	291	143
671	292	142
672	292	142
673	292	141
674	293	141
675	293	140
676	293	140
677	294	139
678	294	139
679	294	138
680	295	138
681	295	137
682	296	137
683	296	136
684	296	136
685	297	135
686	297	135
687	297	135
688	298	134
689	298	134
690	298	133
691	299	133
692	299	132
693	299	132
694	300	131
695	300	131
696	301	130
697	301	130
698	301	129
699	302	129
700	302	129
701	302	128
702	303	128
703	303	127
704	304	127
705	304	126
706	304	126
707	305	125
708	305	125
709	305	124
710	306	124
711	306	124
712	307	123
713	307	123
714	307	122
715	308	122
716	308	121
717	309	121
718	309	120
719	309	120
720	310	119
721	310	119
722	310	119
723	311	118
724	311	118
725	311	117
726	312	117
727	312	116
728	313	116
729	313	115
730	313	115
731	314	115
732	314	114
733	315	114
734	315	113
735	315	113
736	316	112
737	316	112
738	317	111
739	317	111
740	317	111
741	318	110
742	318	110
743	318	109
744	319	109
745	319	108
746	320	108
747	320	107
748	320	107
749	321	107
750	321	106
751	321	106
752	322	105
753	322	105
754	323	104
755	323	104
756	323	103
757	324	103
758	324	103
759	324	102
760	325	102
761	325	101
762	325	101
763	326	100
764	326	100
765	327	99
766	327	99
767	327	99
768	328	98
769	328	98
770	328	97
771	329	97
772	329	96
773	329	96
774	330	95
775	330	95
776	331	95
777	331	94
778	331	94
779	332	93
780	332	93
781	332	92
782	333	92
783	333	91
784	334	91
785	334	91
786	334	90
787	335	90
788	335	89
789	336	89
790	336	88
791	336	88
792	337	88
793	337	87
794	337	87
795	338	86
796	338	86
797	339	85
798	339	85
799	339	84
800	340	84
801	340	84
802	341	83
803	341	83
804	341	82
805	342	82
806	342	81
807	342	81
808	343	81
809	343	80
810	343	80
811	344	79
812	344	79
813	345	78
814	345	78
815	345	77
816	346	77
817	346	77
818	347	76
819	347	76
820	347	75
821	348	75
822	348	75
823	349	74
824	349	74
825	349	73
826	350	73
827	350	72
828	350	72
829	351	71
830	351	71
831	352	71
832	352	70
833	352	70
834	353	69
835	353	69
836	354	68
837	354	68
838	354	68
839	355	67
840	355	67
841	355	66
842	356	66
843	356	65
844	357	65
845	357	65
846	357	64
847	358	64
848	358	63
849	359	63
850	359	62
851	359	62
852	360	62
853	360	61
854	361	61
855	361	60
856	362	60
857	362	59
858	362	59
859	363	59
860	363	58
861	363	58
862	364	57
863	364	57
864	365	56
865	365	56
866	365	56
867	366	55
868	366	55
869	366	54
870	367	54
871	367	53
872	368	53
873	368	53
874	368	52
875	369	52
876	369	51
877	369	51
878	370	50
879	370	50
880	370	50
881	371	49
882	371	49
883	372	48
884	372	48
885	372	47
886	373	47
887	373	47
888	374	46
889	374	46
890	374	45
891	375	45
892	375	45
893	376	44
894	376	44
895	376	43
896	377	43
897	377	42
898	377	42
899	378	42
900	378	41
901	379	41
902	379	40
903	379	40
904	380	39
905	380	39
906	380	39
907	381	38
908	381	38
909	382	37
910	382	37
911	382	36
912	383	36
913	383	36
914	383	35
915	384	35
916	384	34
917	384	34
918	385	33
919	385	33
920	385	33
921	386	32
922	386	32
923	387	31
924	387	31
925	388	31
926	388	30
927	388	30
928	389	29
929	389	29
930	390	28
931	390	28
932	390	28
933	391	27
934	391	27
935	391	26
936	392	26
937	392	25
938	393	25
939	393	25
940	393	24
941	394	24
942	394	23
943	395	23
944	395	23
945	395	22
946	396	22
947	396	21
948	397	21
949	397	20
950	397	20
951	398	20
952	398	19
953	398	19
954	399	18
955	399	18
956	400	17
957	400	17
958	400	17
959	401	16
960	401	16
961	402	15
962	402	15
963	402	15
964	403	14
965	403	14
966	404	13
967	404	13
968	404	12
969	405	12
970	405	12
971	406	11
972	406	11
973	406	10
974	407	10
975	407	10
976	407	9
977	408	9
978	408	8
979	408	8
980	409	7
981	409	7
982	410	7
983	410	6
984	410	6
985	411	5
986	411	5
987	411	5
988	412	4
989	412	4
990	412	3
991	413	3
992	413	2
993	414	2
994	414	2
995	415	1
996	415	1
997	415	0
998	416	0
999	416	0
